Wvl.,Ref. Rad. [μW/cm^2/sr/nm],Bai,,Wvl.,Ref. Rad. [μW/cm^2/sr/nm],Mengqi
1034,1.00E-14,,,1034,0.00819196,
1035,0.000290946,,,1035,0.00859467,
1036,0.000743929,,,1036,0.00924674,
1037,0.00132346,,,1037,0.00984777,
1038,0.0020192,,,1038,0.010096,
1039,0.00310303,,,1039,0.00993304,
1040,0.0044867,,,1040,0.00951015,
1041,0.00561967,,,1041,0.00883999,
1042,0.0059514,,,1042,0.0079352,
1043,0.005019,,,1043,0.00656894,
1044,0.00322146,,,1044,0.0048112,
1045,0.00130104,,,1045,0.00311991,
1046,0,,,1046,0.001953,
1047,1.00E-14,,,1047,0.00153332,
1048,1.00E-14,,,1048,0.00158289,
1049,1.00E-14,,,1049,0.00180844,
1050,0,,,1050,0.00191575,
1051,0,,,1051,0.00164994,
1052,0,,,1052,0.00128034,
1053,0,,,1053,0.00125173,
1054,0,,,1054,0.00201017,
1055,0,,,1055,0.00392312,
1056,0,,,1056,0.00657707,
1057,0,,,1057,0.00930848,
1058,0,,,1058,0.0114763,
1059,0,,,1059,0.0132757,
1060,0,,,1060,0.0148383,
1061,0,,,1061,0.0159884,
1062,1.00E-14,,,1062,0.0164895,
1063,1.00E-14,,,1063,0.015627,
1064,1.00E-14,,,1064,0.0142501,
1065,1.00E-14,,,1065,0.0136584,
1066,8.83E-05,,,1066,0.0150777,
1067,0.000592623,,,1067,0.0182374,
1068,0.00121417,,,1068,0.0226911,
1069,0.00168469,,,1069,0.0282721,
1070,0.00171895,,,1070,0.0348232,
1071,0.00114353,,,1071,0.0423468,
1072,0.000375845,,,1072,0.0509257,
1073,1.00E-14,,,1073,0.0606356,
1074,0.000238832,,,1074,0.0716651,
1075,0.00129121,,,1075,0.0846896,
1076,0.00277026,,,1076,0.0987672,
1077,0.00439618,,,1077,0.112622,
1078,0.00600817,,,1078,0.125409,
1079,0.00797031,,,1079,0.138419,
1080,0.00994348,,,1080,0.150737,
1081,0.0114618,,,1081,0.161015,
1082,0.0120857,,,1082,0.168202,
1083,0.0118382,,,1083,0.173099,
1084,0.0111286,,,1084,0.175601,
1085,0.010377,,,1085,0.175345,
1086,0.00990562,,,1086,0.171745,
1087,0.00951996,,,1087,0.164364,
1088,0.0091104,,,1088,0.154678,
1089,0.00859746,,,1089,0.144313,
1090,0.00793361,,,1090,0.133967,
1091,0.00716767,,,1091,0.122367,
1092,0.00629891,,,1092,0.110543,
1093,0.00532182,,,1093,0.0996865,
1094,0.00414389,,,1094,0.0905483,
1095,0.00267307,,,1095,0.0824468,
1096,0.00122672,,,1096,0.0752826,
1097,0.000143367,,,1097,0.0690195,
1098,1.00E-14,,,1098,0.063895,
1099,1.00E-14,,,1099,0.0600399,
1100,1.00E-14,,,1100,0.0567028,
1101,1.00E-14,,,1101,0.0531102,
1102,0.000332193,,,1102,0.0488855,
1103,0.000889302,,,1103,0.0444537,
1104,0.00140626,,,1104,0.0400758,
1105,0.0016368,,,1105,0.0360096,
1106,0.00142236,,,1106,0.0321936,
1107,0.000923322,,,1107,0.0285356,
1108,0.000371821,,,1108,0.0252472,
1109,0,,,1109,0.02254,
